,player,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,season,votes_first,points_won,points_max,award_share
213,John Stockton,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,1990-91,0,15,960,0.016
214,Isiah Thomas,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,1990-91,0,11,960,0.011
215,Robert Parish,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,1990-91,0,10,960,0.01
216,Joe Dumars,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,1990-91,0,8,960,0.008
217,Bernard King,64,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,1990-91,0,7,960,0.007
218,Kenny Smith,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,1990-91,0,5,960,0.005
219,Hakeem Olajuwon,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,1990-91,0,4,960,0.004
220,Tim Hardaway,82,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,1990-91,0,1,960,0.001
221,Kevin McHale,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,1990-91,0,1,960,0.001
222,Michael Jordan,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,1991-92,80,900,960,0.938
223,Clyde Drexler,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,1991-92,12,561,960,0.584
224,David Robinson,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,1991-92,2,337,960,0.351
225,Karl Malone,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,1991-92,1,262,960,0.273
226,Patrick Ewing,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,1991-92,0,100,960,0.104
227,Chris Mullin,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,1991-92,0,81,960,0.084
228,Mark Price,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,1991-92,0,66,960,0.069
229,Tim Hardaway,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,1991-92,0,64,960,0.067
230,Scottie Pippen,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,1991-92,1,32,960,0.033
231,Dennis Rodman,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,1991-92,0,26,960,0.027
232,Brad Daugherty,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,1991-92,0,24,960,0.025
233,Charles Barkley,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,1991-92,0,18,960,0.019
234,John Stockton,82,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,1991-92,0,18,960,0.019
235,Larry Bird,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,1991-92,0,3,960,0.003
236,Kevin Johnson,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,1991-92,0,2,960,0.002
237,Danny Manning,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,1991-92,0,1,960,0.001
238,Detlef Schrempf,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,1991-92,0,1,960,0.001
239,Charles Barkley,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,1992-93,59,835,980,0.852
240,Hakeem Olajuwon,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,1992-93,22,647,980,0.66
241,Michael Jordan,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,1992-93,13,565,980,0.577
242,Patrick Ewing,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,1992-93,4,359,980,0.366
243,Dominique Wilkins,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,1992-93,0,54,980,0.055
244,David Robinson,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,1992-93,0,33,980,0.034
245,Shaquille O'Neal,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,1992-93,0,30,980,0.031
246,Karl Malone,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,1992-93,0,10,980,0.01
247,Mark Price,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,1992-93,0,10,980,0.01
248,Brad Daugherty,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,1992-93,0,1,980,0.001
249,Clyde Drexler,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,1992-93,0,1,980,0.001
250,Joe Dumars,77,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,1992-93,0,1,980,0.001
251,Shawn Kemp,78,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,1992-93,0,1,980,0.001
252,John Stockton,82,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,1992-93,0,1,980,0.001
253,Hakeem Olajuwon,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,1993-94,66,889,1010,0.88
254,David Robinson,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,1993-94,24,730,1010,0.723
255,Scottie Pippen,72,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,1993-94,7,390,1010,0.386
256,Shaquille O'Neal,81,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,1993-94,3,289,1010,0.286
257,Patrick Ewing,79,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,1993-94,1,255,1010,0.252
258,Gary Payton,82,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,1993-94,0,20,1010,0.02
259,Shawn Kemp,79,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,1993-94,0,17,1010,0.017
260,Karl Malone,82,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,1993-94,0,17,1010,0.017
261,Mark Price,76,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,1993-94,0,7,1010,0.007
262,Charles Barkley,65,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,1993-94,0,5,1010,0.005
263,Mookie Blaylock,81,36,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,1993-94,0,1,1010,0.001
264,Kevin Johnson,67,36.6,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,1993-94,0,1,1010,0.001
265,Dennis Rodman,79,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,1993-94,0,1,1010,0.001
266,Latrell Sprewell,82,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,1993-94,0,1,1010,0.001
267,John Stockton,82,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,1993-94,0,1,1010,0.001
268,Dominique Wilkins,74,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,1993-94,0,1,1010,0.001
269,Kevin Willis,80,35.8,19.1,12,1.9,1,0.5,0.499,0.375,0.713,10.2,1993-94,0,1,1010,0.001
270,David Robinson,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,1994-95,73,901,1050,0.858
271,Shaquille O'Neal,79,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,1994-95,12,605,1050,0.576
272,Karl Malone,82,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,1994-95,14,532,1050,0.507
273,Patrick Ewing,79,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,1994-95,2,230,1050,0.219
274,Hakeem Olajuwon,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,1994-95,1,147,1050,0.14
275,Charles Barkley,68,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,1994-95,1,96,1050,0.091
276,Scottie Pippen,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,1994-95,1,83,1050,0.079
277,John Stockton,82,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,1994-95,1,47,1050,0.045
278,Gary Payton,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,1994-95,0,34,1050,0.032
279,Anfernee Hardaway,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,1994-95,0,23,1050,0.022
280,Michael Jordan,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,1994-95,0,12,1050,0.011
281,Dennis Rodman,49,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,1994-95,0,9,1050,0.009
282,Jason Kidd,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,1994-95,0,7,1050,0.007
283,Clyde Drexler,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,1994-95,0,3,1050,0.003
284,Cedric Ceballos,58,35,21.7,8,1.8,1,0.3,0.509,0.397,0.716,5.2,1994-95,0,1,1050,0.001
285,Michael Jordan,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,1995-96,109,1114,1130,0.986
286,David Robinson,82,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,1995-96,0,574,1130,0.508
287,Anfernee Hardaway,82,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,1995-96,2,360,1130,0.319
288,Hakeem Olajuwon,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,1995-96,1,238,1130,0.211
289,Scottie Pippen,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,1995-96,0,226,1130,0.2
290,Gary Payton,81,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,1995-96,0,98,1130,0.087
291,Karl Malone,82,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,1995-96,1,85,1130,0.075
292,Shawn Kemp,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,1995-96,0,73,1130,0.065
293,Grant Hill,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,1995-96,0,63,1130,0.056
294,Shaquille O'Neal,54,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,1995-96,0,63,1130,0.056
295,John Stockton,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,1995-96,0,12,1130,0.011
296,Charles Barkley,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,1995-96,0,8,1130,0.007
297,Magic Johnson,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,1995-96,0,8,1130,0.007
298,Alonzo Mourning,70,38.2,23.2,10.4,2.3,1,2.7,0.523,0.3,0.685,9.9,1995-96,0,6,1130,0.005
299,Dennis Rodman,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,1995-96,0,4,1130,0.004
300,Terrell Brandon,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,1995-96,0,3,1130,0.003
301,Mitch Richmond,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,1995-96,0,3,1130,0.003
302,Karl Malone,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,1996-97,63,986,1150,0.857
303,Michael Jordan,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,1996-97,52,957,1150,0.832
304,Grant Hill,80,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,1996-97,0,376,1150,0.327
305,Tim Hardaway,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,1996-97,0,238,1150,0.207
306,Glen Rice,79,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,1996-97,0,134,1150,0.117
307,Gary Payton,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,1996-97,0,105,1150,0.091
308,Hakeem Olajuwon,78,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,1996-97,0,95,1150,0.083
309,Patrick Ewing,78,37,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,1996-97,0,57,1150,0.05
310,Anthony Mason,73,43.1,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,1996-97,0,7,1150,0.006
311,Shaquille O'Neal,51,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,1996-97,0,7,1150,0.006
312,Scottie Pippen,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,1996-97,0,6,1150,0.005
313,Alonzo Mourning,66,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,1996-97,0,5,1150,0.004
314,Dikembe Mutombo,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,0,0.705,11.3,1996-97,0,4,1150,0.003
315,Mitch Richmond,81,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,1996-97,0,4,1150,0.003
316,John Stockton,82,35.3,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,1996-97,0,3,1150,0.003
317,Charles Barkley,53,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,1996-97,0,2,1150,0.002
318,Tom Gugliotta,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,1996-97,0,1,1150,0.001
319,Allen Iverson,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,1996-97,0,1,1150,0.001
320,Kevin Johnson,70,38,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,1996-97,0,1,1150,0.001
321,Steve Smith,72,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,1996-97,0,1,1150,0.001
322,Michael Jordan,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,1997-98,92,1084,1160,0.934
323,Karl Malone,81,37.4,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,1997-98,20,842,1160,0.726
324,Gary Payton,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,1997-98,3,431,1160,0.372
325,Shaquille O'Neal,60,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0,0.527,10.2,1997-98,1,311,1160,0.268
326,Tim Duncan,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,1997-98,0,148,1160,0.128
327,Tim Hardaway,81,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,1997-98,0,71,1160,0.061
328,David Robinson,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,1997-98,0,36,1160,0.031
329,Vin Baker,82,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,1997-98,0,24,1160,0.021
330,Grant Hill,81,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,1997-98,0,23,1160,0.02
331,Scottie Pippen,44,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,1997-98,0,14,1160,0.012
332,Glen Rice,82,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,1997-98,0,7,1160,0.006
333,Antoine Walker,82,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,1997-98,0,6,1160,0.005
334,Jason Kidd,82,38,11.6,6.2,9.1,2,0.3,0.416,0.313,0.799,8,1997-98,0,5,1160,0.004
335,John Stockton,64,29,12,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8,1997-98,0,5,1160,0.004
336,Mitch Richmond,70,36.7,23.2,3.3,4,1.3,0.2,0.445,0.389,0.864,7.9,1997-98,0,3,1160,0.003
337,Reggie Miller,81,34.5,19.5,2.9,2.1,1,0.1,0.477,0.429,0.868,12,1997-98,0,2,1160,0.002
338,Rik Smits,73,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0,0.783,6.1,1997-98,0,2,1160,0.002
339,Michael Finley,82,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,1997-98,0,1,1160,0.001
340,Rod Strickland,76,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,1997-98,0,1,1160,0.001
341,Karl Malone,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,1998-99,44,827,1180,0.701
342,Alonzo Mourning,46,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,7.9,1998-99,36,773,1180,0.655
343,Tim Duncan,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,1998-99,30,740,1180,0.627
344,Allen Iverson,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,1998-99,5,319,1180,0.27
345,Jason Kidd,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,1998-99,2,159,1180,0.135
346,Shaquille O'Neal,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,9,1998-99,1,89,1180,0.075
347,Chris Webber,42,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,3.6,1998-99,0,51,1180,0.043
348,Grant Hill,50,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,7.3,1998-99,0,39,1180,0.033
349,Gary Payton,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,1998-99,0,35,1180,0.03
350,Kevin Garnett,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,1998-99,0,9,1180,0.008
351,Shawn Kemp,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,1998-99,0,7,1180,0.006
352,David Robinson,49,31.7,15.8,10,2.1,1.4,2.4,0.509,0,0.658,8.4,1998-99,0,6,1180,0.005
353,Hakeem Olajuwon,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,1998-99,0,3,1180,0.003
354,Arvydas Sabonis,50,27,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,1998-99,0,3,1180,0.003
355,Darrell Armstrong,50,30,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,1998-99,0,2,1180,0.002
356,Vince Carter,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,1998-99,0,1,1180,0.001
